Year,Month,Furniture Category,Order Quantity
2018,1,Table,32
2018,1,Chair,30
2018,1,Sofa,20
2018,1,Cabinet,27
2018,1,Bed,41
2018,1,Desk,4
2018,2,Table,27
2018,2,Chair,21
2018,2,Sofa,19
2018,2,Cabinet,42
2018,2,Bed,15
2018,2,Desk,30
2018,3,Table,3
2018,3,Chair,21
2018,3,Sofa,32
2018,3,Cabinet,33
2018,3,Bed,17
2018,3,Desk,5
2018,4,Table,19
2018,4,Chair,21
2018,4,Sofa,2
2018,4,Cabinet,13
2018,4,Bed,12
2018,4,Desk,14
2018,5,Table,32
2018,5,Chair,10
2018,5,Sofa,25
2018,5,Cabinet,41
2018,5,Bed,20
2018,5,Desk,4
2018,6,Table,9
2018,6,Chair,45
2018,6,Sofa,50
2018,6,Cabinet,7
2018,6,Bed,41
2018,6,Desk,28
2018,7,Table,6
2018,7,Chair,10
2018,7,Sofa,11
2018,7,Cabinet,22
2018,7,Bed,5
2018,7,Desk,48
2018,8,Table,18
2018,8,Chair,21
2018,8,Sofa,46
2018,8,Cabinet,11
2018,8,Bed,21
2018,8,Desk,17
2018,9,Table,21
2018,9,Chair,13
2018,9,Sofa,15
2018,9,Cabinet,24
2018,9,Bed,24
2018,9,Desk,32
2018,10,Table,42
2018,10,Chair,20
2018,10,Sofa,11
2018,10,Cabinet,31
2018,10,Bed,49
2018,10,Desk,14
2018,11,Table,45
2018,11,Chair,49
2018,11,Sofa,25
2018,11,Cabinet,37
2018,11,Bed,32
2018,11,Desk,2
2018,12,Table,9
2018,12,Chair,5
2018,12,Sofa,12
2018,12,Cabinet,30
2018,12,Bed,30
2018,12,Desk,39
2019,1,Table,9
2019,1,Chair,21
2019,1,Sofa,9
2019,1,Cabinet,24
2019,1,Bed,21
2019,1,Desk,28
2019,2,Table,19
2019,2,Chair,48
2019,2,Sofa,29
2019,2,Cabinet,13
2019,2,Bed,18
2019,2,Desk,6
2019,3,Table,39
2019,3,Chair,12
2019,3,Sofa,25
2019,3,Cabinet,23
2019,3,Bed,45
2019,3,Desk,45
2019,4,Table,47
2019,4,Chair,37
2019,4,Sofa,5
2019,4,Cabinet,15
2019,4,Bed,11
2019,4,Desk,47
2019,5,Table,23
2019,5,Chair,17
2019,5,Sofa,44
2019,5,Cabinet,44
2019,5,Bed,3
2019,5,Desk,4
2019,6,Table,21
2019,6,Chair,16
2019,6,Sofa,21
2019,6,Cabinet,40
2019,6,Bed,17
2019,6,Desk,2
2019,7,Table,48
2019,7,Chair,8
2019,7,Sofa,26
2019,7,Cabinet,4
2019,7,Bed,31
2019,7,Desk,6
2019,8,Table,18
2019,8,Chair,12
2019,8,Sofa,26
2019,8,Cabinet,12
2019,8,Bed,31
2019,8,Desk,4
2019,9,Table,4
2019,9,Chair,34
2019,9,Sofa,32
2019,9,Cabinet,14
2019,9,Bed,44
2019,9,Desk,49
2019,10,Table,8
2019,10,Chair,43
2019,10,Sofa,36
2019,10,Cabinet,38
2019,10,Bed,10
2019,10,Desk,23
2019,11,Table,20
2019,11,Chair,4
2019,11,Sofa,39
2019,11,Cabinet,22
2019,11,Bed,19
2019,11,Desk,40
2019,12,Table,23
2019,12,Chair,45
2019,12,Sofa,45
2019,12,Cabinet,22
2019,12,Bed,48
2019,12,Desk,9
2020,1,Table,37
2020,1,Chair,43
2020,1,Sofa,22
2020,1,Cabinet,19
2020,1,Bed,36
2020,1,Desk,43
2020,2,Table,26
2020,2,Chair,43
2020,2,Sofa,38
2020,2,Cabinet,24
2020,2,Bed,15
2020,2,Desk,5
2020,3,Table,7
2020,3,Chair,2
2020,3,Sofa,23
2020,3,Cabinet,24
2020,3,Bed,38
2020,3,Desk,15
2020,4,Table,36
2020,4,Chair,14
2020,4,Sofa,4
2020,4,Cabinet,9
2020,4,Bed,30
2020,4,Desk,44
2020,5,Table,43
2020,5,Chair,30
2020,5,Sofa,29
2020,5,Cabinet,35
2020,5,Bed,21
2020,5,Desk,11
2020,6,Table,36
2020,6,Chair,2
2020,6,Sofa,35
2020,6,Cabinet,27
2020,6,Bed,23
2020,6,Desk,11
2020,7,Table,11
2020,7,Chair,41
2020,7,Sofa,35
2020,7,Cabinet,8
2020,7,Bed,17
2020,7,Desk,44
2020,8,Table,33
2020,8,Chair,16
2020,8,Sofa,2
2020,8,Cabinet,37
2020,8,Bed,27
2020,8,Desk,49
2020,9,Table,22
2020,9,Chair,6
2020,9,Sofa,1
2020,9,Cabinet,44
2020,9,Bed,10
2020,9,Desk,23
2020,10,Table,9
2020,10,Chair,32
2020,10,Sofa,42
2020,10,Cabinet,24
2020,10,Bed,29
2020,10,Desk,34
2020,11,Table,5
2020,11,Chair,15
2020,11,Sofa,12
2020,11,Cabinet,17
2020,11,Bed,27
2020,11,Desk,18
2020,12,Table,46
2020,12,Chair,39
2020,12,Sofa,9
2020,12,Cabinet,17
2020,12,Bed,45
2020,12,Desk,40
2021,1,Table,6
2021,1,Chair,40
2021,1,Sofa,10
2021,1,Cabinet,37
2021,1,Bed,20
2021,1,Desk,44
2021,2,Table,35
2021,2,Chair,5
2021,2,Sofa,26
2021,2,Cabinet,26
2021,2,Bed,16
2021,2,Desk,41
2021,3,Table,1
2021,3,Chair,6
2021,3,Sofa,24
2021,3,Cabinet,31
2021,3,Bed,45
2021,3,Desk,17
2021,4,Table,11
2021,4,Chair,8
2021,4,Sofa,47
2021,4,Cabinet,48
2021,4,Bed,44
2021,4,Desk,49
2021,5,Table,13
2021,5,Chair,8
2021,5,Sofa,11
2021,5,Cabinet,15
2021,5,Bed,27
2021,5,Desk,20
2021,6,Table,50
2021,6,Chair,10
2021,6,Sofa,39
2021,6,Cabinet,8
2021,6,Bed,29
2021,6,Desk,28
2021,7,Table,19
2021,7,Chair,17
2021,7,Sofa,48
2021,7,Cabinet,11
2021,7,Bed,21
2021,7,Desk,32
2021,8,Table,50
2021,8,Chair,40
2021,8,Sofa,24
2021,8,Cabinet,25
2021,8,Bed,39
2021,8,Desk,12
2021,9,Table,13
2021,9,Chair,14
2021,9,Sofa,42
2021,9,Cabinet,12
2021,9,Bed,12
2021,9,Desk,1
2021,10,Table,6
2021,10,Chair,44
2021,10,Sofa,10
2021,10,Cabinet,16
2021,10,Bed,41
2021,10,Desk,23
2021,11,Table,42
2021,11,Chair,24
2021,11,Sofa,40
2021,11,Cabinet,15
2021,11,Bed,2
2021,11,Desk,39
2021,12,Table,34
2021,12,Chair,41
2021,12,Sofa,11
2021,12,Cabinet,14
2021,12,Bed,45
2021,12,Desk,3
2022,1,Table,16
2022,1,Chair,23
2022,1,Sofa,6
2022,1,Cabinet,47
2022,1,Bed,9
2022,1,Desk,21
2022,2,Table,44
2022,2,Chair,50
2022,2,Sofa,8
2022,2,Cabinet,34
2022,2,Bed,42
2022,2,Desk,17
2022,3,Table,13
2022,3,Chair,37
2022,3,Sofa,6
2022,3,Cabinet,28
2022,3,Bed,50
2022,3,Desk,8
2022,4,Table,25
2022,4,Chair,25
2022,4,Sofa,25
2022,4,Cabinet,17
2022,4,Bed,12
2022,4,Desk,43
2022,5,Table,30
2022,5,Chair,41
2022,5,Sofa,41
2022,5,Cabinet,14
2022,5,Bed,19
2022,5,Desk,38
2022,6,Table,12
2022,6,Chair,33
2022,6,Sofa,25
2022,6,Cabinet,1
2022,6,Bed,49
2022,6,Desk,33
2022,7,Table,26
2022,7,Chair,24
2022,7,Sofa,12
2022,7,Cabinet,40
2022,7,Bed,8
2022,7,Desk,2
2022,8,Table,37
2022,8,Chair,5
2022,8,Sofa,8
2022,8,Cabinet,29
2022,8,Bed,7
2022,8,Desk,27
2022,9,Table,7
2022,9,Chair,30
2022,9,Sofa,18
2022,9,Cabinet,7
2022,9,Bed,6
2022,9,Desk,49
2022,10,Table,3
2022,10,Chair,36
2022,10,Sofa,19
2022,10,Cabinet,36
2022,10,Bed,29
2022,10,Desk,14
2022,11,Table,1
2022,11,Chair,8
2022,11,Sofa,45
2022,11,Cabinet,9
2022,11,Bed,25
2022,11,Desk,10
2022,12,Table,18
2022,12,Chair,5
2022,12,Sofa,34
2022,12,Cabinet,45
2022,12,Bed,50
2022,12,Desk,50
2023,1,Table,28
2023,1,Chair,32
2023,1,Sofa,12
2023,1,Cabinet,41
2023,1,Bed,11
2023,1,Desk,8
2023,2,Table,36
2023,2,Chair,3
2023,2,Sofa,18
2023,2,Cabinet,47
2023,2,Bed,32
2023,2,Desk,25
2023,3,Table,11
