Year,Month,Furniture Category,Order Quantity
2021,1,Table,8
2021,1,Chair,48
2021,1,Sofa,18
2021,1,Cabinet,40
2021,1,Bed,6
2021,1,Desk,15
2021,2,Table,22
2021,2,Chair,24
2021,2,Sofa,3
2021,2,Cabinet,15
2021,2,Bed,17
2021,2,Desk,9
2021,3,Table,21
2021,3,Chair,3
2021,3,Sofa,50
2021,3,Cabinet,3
2021,3,Bed,40
2021,3,Desk,26
2021,4,Table,12
2021,4,Chair,41
2021,4,Sofa,39
2021,4,Cabinet,19
2021,4,Bed,26
2021,4,Desk,49
2021,5,Table,1
2021,5,Chair,29
2021,5,Sofa,42
2021,5,Cabinet,16
2021,5,Bed,20
2021,5,Desk,7
2021,6,Table,22
2021,6,Chair,40
2021,6,Sofa,43
2021,6,Cabinet,47
2021,6,Bed,43
2021,6,Desk,33
2021,7,Table,31
2021,7,Chair,12
2021,7,Sofa,45
2021,7,Cabinet,25
2021,7,Bed,15
2021,7,Desk,10
2021,8,Table,47
2021,8,Chair,9
2021,8,Sofa,48
2021,8,Cabinet,44
2021,8,Bed,29
2021,8,Desk,20
2021,9,Table,46
2021,9,Chair,41
2021,9,Sofa,19
2021,9,Cabinet,33
2021,9,Bed,9
2021,9,Desk,39
2021,10,Table,50
2021,10,Chair,2
2021,10,Sofa,47
2021,10,Cabinet,45
2021,10,Bed,6
2021,10,Desk,19
2021,11,Table,21
2021,11,Chair,23
2021,11,Sofa,20
2021,11,Cabinet,37
2021,11,Bed,33
2021,11,Desk,16
2021,12,Table,5
2021,12,Chair,50
2021,12,Sofa,7
2021,12,Cabinet,8
2021,12,Bed,14
2021,12,Desk,17
2022,1,Table,43
2022,1,Chair,16
2022,1,Sofa,2
2022,1,Cabinet,12
2022,1,Bed,46
2022,1,Desk,50
2022,2,Table,30
2022,2,Chair,17
2022,2,Sofa,22
2022,2,Cabinet,42
2022,2,Bed,8
2022,2,Desk,40
2022,3,Table,11
2022,3,Chair,39
2022,3,Sofa,30
2022,3,Cabinet,28
2022,3,Bed,28
2022,3,Desk,2
2022,4,Table,45
2022,4,Chair,25
2022,4,Sofa,13
2022,4,Cabinet,49
2022,4,Bed,28
2022,4,Desk,39
2022,5,Table,49
2022,5,Chair,12
2022,5,Sofa,19
2022,5,Cabinet,36
2022,5,Bed,46
2022,5,Desk,1
2022,6,Table,24
2022,6,Chair,49
2022,6,Sofa,49
2022,6,Cabinet,50
2022,6,Bed,4
2022,6,Desk,28
2022,7,Table,1
2022,7,Chair,48
2022,7,Sofa,32
2022,7,Cabinet,37
2022,7,Bed,27
2022,7,Desk,28
2022,8,Table,17
2022,8,Chair,43
2022,8,Sofa,14
2022,8,Cabinet,29
2022,8,Bed,24
2022,8,Desk,43
2022,9,Table,13
2022,9,Chair,31
2022,9,Sofa,2
2022,9,Cabinet,28
2022,9,Bed,7
2022,9,Desk,14
2022,10,Table,36
2022,10,Chair,39
2022,10,Sofa,43
2022,10,Cabinet,18
2022,10,Bed,22
2022,10,Desk,11
2022,11,Table,30
2022,11,Chair,17
2022,11,Sofa,8
2022,11,Cabinet,50
2022,11,Bed,5
2022,11,Desk,28
2022,12,Table,1
2022,12,Chair,31
2022,12,Sofa,26
2022,12,Cabinet,48
2022,12,Bed,39
2022,12,Desk,6
2023,1,Table,49
2023,1,Chair,23
2023,1,Sofa,47
2023,1,Cabinet,38
2023,1,Bed,9
2023,1,Desk,23
2023,2,Table,10
2023,2,Chair,14
2023,2,Sofa,32
2023,2,Cabinet,49
2023,2,Bed,20
2023,2,Desk,2
2023,3,Table,6
2023,3,Chair,28
2023,3,Sofa,43
2023,3,Cabinet,21
2023,3,Bed,20
2023,3,Desk,31
2023,4,Table,33
2023,4,Chair,1
2023,4,Sofa,46
2023,4,Cabinet,33
2023,4,Bed,29
2023,4,Desk,23
2023,5,Table,44
2023,5,Chair,49
2023,5,Sofa,1
2023,5,Cabinet,25
2023,5,Bed,11
2023,5,Desk,3
2023,6,Table,33
2023,6,Chair,45
2023,6,Sofa,37
2023,6,Cabinet,2
2023,6,Bed,26
2023,6,Desk,27
2023,7,Table,26
2023,7,Chair,9
2023,7,Sofa,40
2023,7,Cabinet,42
2023,7,Bed,43
2023,7,Desk,7
2023,8,Table,20
2023,8,Chair,1
2023,8,Sofa,43
2023,8,Cabinet,34
2023,8,Bed,44
2023,8,Desk,43
2023,9,Table,29
2023,9,Chair,29
2023,9,Sofa,1
2023,9,Cabinet,6
2023,9,Bed,10
2023,9,Desk,31
2023,10,Table,8
2023,10,Chair,44
2023,10,Sofa,13
2023,10,Cabinet,38
2023,10,Bed,16
2023,10,Desk,35
2023,11,Table,19
2023,11,Chair,2
2023,11,Sofa,34
2023,11,Cabinet,4
2023,11,Bed,24
2023,11,Desk,31
2023,12,Table,4
2023,12,Chair,4
2023,12,Sofa,2
2023,12,Cabinet,26
2023,12,Bed,36
2023,12,Desk,22
