Year,Month,Furniture Category,Order Quantity,Moving Average,Year-Month
2021,1,Sofa,18,24.666666666666668,2021-01
2021,1,Cabinet,40,35.333333333333336,2021-01
2021,1,Bed,6,21.333333333333332,2021-01
2021,1,Desk,15,20.333333333333332,2021-01
2021,2,Table,22,14.333333333333334,2021-02
2021,2,Chair,24,20.333333333333332,2021-02
2021,2,Sofa,3,16.333333333333332,2021-02
2021,2,Cabinet,15,14.0,2021-02
2021,2,Bed,17,11.666666666666666,2021-02
2021,2,Desk,9,13.666666666666666,2021-02
2021,3,Table,21,15.666666666666666,2021-03
2021,3,Chair,3,11.0,2021-03
2021,3,Sofa,50,24.666666666666668,2021-03
2021,3,Cabinet,3,18.666666666666668,2021-03
2021,3,Bed,40,31.0,2021-03
2021,3,Desk,26,23.0,2021-03
2021,4,Table,12,26.0,2021-04
2021,4,Chair,41,26.333333333333332,2021-04
2021,4,Sofa,39,30.666666666666668,2021-04
2021,4,Cabinet,19,33.0,2021-04
2021,4,Bed,26,28.0,2021-04
2021,4,Desk,49,31.333333333333332,2021-04
2021,5,Table,1,25.333333333333332,2021-05
2021,5,Chair,29,26.333333333333332,2021-05
2021,5,Sofa,42,24.0,2021-05
2021,5,Cabinet,16,29.0,2021-05
2021,5,Bed,20,26.0,2021-05
2021,5,Desk,7,14.333333333333334,2021-05
2021,6,Table,22,16.333333333333332,2021-06
2021,6,Chair,40,23.0,2021-06
2021,6,Sofa,43,35.0,2021-06
2021,6,Cabinet,47,43.333333333333336,2021-06
2021,6,Bed,43,44.333333333333336,2021-06
2021,6,Desk,33,41.0,2021-06
2021,7,Table,31,35.666666666666664,2021-07
2021,7,Chair,12,25.333333333333332,2021-07
2021,7,Sofa,45,29.333333333333332,2021-07
2021,7,Cabinet,25,27.333333333333332,2021-07
2021,7,Bed,15,28.333333333333332,2021-07
2021,7,Desk,10,16.666666666666668,2021-07
2021,8,Table,47,24.0,2021-08
2021,8,Chair,9,22.0,2021-08
2021,8,Sofa,48,34.666666666666664,2021-08
2021,8,Cabinet,44,33.666666666666664,2021-08
2021,8,Bed,29,40.333333333333336,2021-08
2021,8,Desk,20,31.0,2021-08
2021,9,Table,46,31.666666666666668,2021-09
2021,9,Chair,41,35.666666666666664,2021-09
2021,9,Sofa,19,35.333333333333336,2021-09
2021,9,Cabinet,33,31.0,2021-09
2021,9,Bed,9,20.333333333333332,2021-09
2021,9,Desk,39,27.0,2021-09
2021,10,Table,50,32.666666666666664,2021-10
2021,10,Chair,2,30.333333333333332,2021-10
2021,10,Sofa,47,33.0,2021-10
2021,10,Cabinet,45,31.333333333333332,2021-10
2021,10,Bed,6,32.666666666666664,2021-10
2021,10,Desk,19,23.333333333333332,2021-10
2021,11,Table,21,15.333333333333334,2021-11
2021,11,Chair,23,21.0,2021-11
2021,11,Sofa,20,21.333333333333332,2021-11
2021,11,Cabinet,37,26.666666666666668,2021-11
2021,11,Bed,33,30.0,2021-11
2021,11,Desk,16,28.666666666666668,2021-11
2021,12,Table,5,18.0,2021-12
2021,12,Chair,50,23.666666666666668,2021-12
2021,12,Sofa,7,20.666666666666668,2021-12
2021,12,Cabinet,8,21.666666666666668,2021-12
2021,12,Bed,14,9.666666666666666,2021-12
2021,12,Desk,17,13.0,2021-12
2022,1,Table,43,24.666666666666668,2022-01
2022,1,Chair,16,25.333333333333332,2022-01
2022,1,Sofa,2,20.333333333333332,2022-01
2022,1,Cabinet,12,10.0,2022-01
2022,1,Bed,46,20.0,2022-01
2022,1,Desk,50,36.0,2022-01
2022,2,Table,30,42.0,2022-02
2022,2,Chair,17,32.333333333333336,2022-02
2022,2,Sofa,22,23.0,2022-02
2022,2,Cabinet,42,27.0,2022-02
2022,2,Bed,8,24.0,2022-02
2022,2,Desk,40,30.0,2022-02
2022,3,Table,11,19.666666666666668,2022-03
2022,3,Chair,39,30.0,2022-03
2022,3,Sofa,30,26.666666666666668,2022-03
2022,3,Cabinet,28,32.333333333333336,2022-03
2022,3,Bed,28,28.666666666666668,2022-03
2022,3,Desk,2,19.333333333333332,2022-03
2022,4,Table,45,25.0,2022-04
2022,4,Chair,25,24.0,2022-04
2022,4,Sofa,13,27.666666666666668,2022-04
2022,4,Cabinet,49,29.0,2022-04
2022,4,Bed,28,30.0,2022-04
2022,4,Desk,39,38.666666666666664,2022-04
2022,5,Table,49,38.666666666666664,2022-05
2022,5,Chair,12,33.333333333333336,2022-05
2022,5,Sofa,19,26.666666666666668,2022-05
2022,5,Cabinet,36,22.333333333333332,2022-05
2022,5,Bed,46,33.666666666666664,2022-05
2022,5,Desk,1,27.666666666666668,2022-05
2022,6,Table,24,23.666666666666668,2022-06
2022,6,Chair,49,24.666666666666668,2022-06
2022,6,Sofa,49,40.666666666666664,2022-06
2022,6,Cabinet,50,49.333333333333336,2022-06
2022,6,Bed,4,34.333333333333336,2022-06
2022,6,Desk,28,27.333333333333332,2022-06
2022,7,Table,1,11.0,2022-07
2022,7,Chair,48,25.666666666666668,2022-07
2022,7,Sofa,32,27.0,2022-07
2022,7,Cabinet,37,39.0,2022-07
2022,7,Bed,27,32.0,2022-07
2022,7,Desk,28,30.666666666666668,2022-07
2022,8,Table,17,24.0,2022-08
2022,8,Chair,43,29.333333333333332,2022-08
2022,8,Sofa,14,24.666666666666668,2022-08
2022,8,Cabinet,29,28.666666666666668,2022-08
2022,8,Bed,24,22.333333333333332,2022-08
